Keyword,Angle,Location,Language,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Competition
lotte finance,Brand,Vietnam,VI,9900,4400,6600,6600,8100,9900,9900,9900,8100,9900,9900,9900,8100,6600,9900,9900,12100,9900,9900,9900,9900,12100,12100,12100,MEDIUM(54)
lottefinance,Brand,Vietnam,VI,9900,4400,6600,6600,8100,9900,9900,9900,8100,9900,9900,9900,8100,6600,9900,9900,12100,9900,9900,9900,9900,12100,12100,12100,MEDIUM(54)
vay lotte,Brand,Vietnam,VI,1600,720,1000,1000,1300,1300,1300,1300,1300,1300,1600,1600,1000,880,1000,1000,1300,1300,1300,1000,1000,1000,1000,1000,HIGH(69)
ngân hàng lotte,Brand,Vietnam,VI,1000,390,880,720,880,880,880,880,720,880,880,880,590,480,720,590,720,720,880,590,720,720,590,720,LOW(25)
lotte finance vay tiêu dùng,Brand,Vietnam,VI,880,480,880,720,720,590,720,590,480,480,390,480,390,260,320,390,480,390,480,390,390,480,390,320,HIGH(69)
công ty tài chính lotte,Brand,Vietnam,VI,590,390,480,480,590,390,590,480,480,590,590,590,390,320,390,390,480,480,590,480,390,390,320,390,LOW(22)
lotte finance của ngân hàng nào,Brand,Vietnam,VI,210,90,170,210,320,390,480,390,390,480,390,320,210,260,320,390,480,480,720,590,720,720,720,720,MEDIUM(34)
vay lotte finance,Brand,Vietnam,VI,320,140,170,210,320,390,480,390,320,320,390,390,480,480,880,720,390,320,390,390,390,390,390,480,HIGH(67)
lotte finance app,Brand,Vietnam,VI,40,10,40,90,90,140,170,170,210,170,260,320,260,210,320,480,480,480,590,480,720,480,90,480,MEDIUM(47)
tài chính lotte,Brand,Vietnam,VI,390,140,320,260,210,210,320,260,210,210,260,260,170,140,140,210,260,210,260,260,260,140,140,140,MEDIUM(42)
lãi suất vay lotte finance,Brand,Vietnam,VI,210,90,260,210,260,170,210,260,260,210,210,210,140,110,140,140,110,110,170,90,140,170,110,140,MEDIUM(44)
công ty tài chính lotte finance,Brand,Vietnam,VI,210,140,170,170,210,170,140,170,140,140,140,170,110,110,140,170,260,170,210,170,170,170,210,260,LOW(23)
ngân hàng lotte finance,Brand,Vietnam,VI,90,50,70,70,140,90,170,110,170,260,140,110,140,110,210,210,260,210,260,260,210,110,90,260,MEDIUM(35)
cty tài chính lotte,Brand,Vietnam,VI,320,110,170,210,170,210,170,170,140,170,170,170,110,90,110,140,140,170,170,140,110,170,110,110,LOW(29)
lotte app,Brand,Vietnam,VI,170,210,110,140,110,140,140,140,140,110,70,110,140,110,110,90,140,110,170,210,170,140,170,210,LOW(1)
app lotte,Brand,Vietnam,VI,170,210,110,140,110,140,140,140,140,110,70,110,140,110,110,90,140,110,170,210,170,140,170,210,LOW(1)
tài app lotte finance,Brand,Vietnam,VI,90,40,50,50,90,90,170,90,50,90,110,90,70,70,210,210,210,260,260,210,260,170,140,140,LOW(20)
tải app lotte finance,Brand,Vietnam,VI,90,40,50,50,90,90,170,90,50,90,110,90,70,70,210,210,210,260,260,210,260,170,140,140,LOW(20)
thẻ tín dụng lotte finance,Brand,Vietnam,VI,210,110,140,140,110,140,110,140,140,170,170,140,140,110,90,110,90,110,140,140,140,140,110,140,MEDIUM(43)
công ty lotte finance,Brand,Vietnam,VI,140,70,140,110,140,90,110,110,90,110,110,110,90,110,110,110,140,110,140,140,140,110,110,90,LOW(12)
app lotte mart,Brand,Vietnam,VI,140,90,90,90,90,110,90,110,140,90,110,90,110,70,90,70,70,50,90,110,70,90,140,110,LOW(7)
app lotte cinema,Brand,Vietnam,VI,30,260,110,110,110,70,90,70,40,40,30,30,70,140,50,70,110,50,70,170,140,50,50,70,LOW(0)
app lotte finance,Brand,Vietnam,VI,90,50,70,50,70,50,70,110,70,90,90,70,70,50,70,70,70,140,90,110,110,90,110,110,LOW(30)
lotte cinema app,Brand,Vietnam,VI,30,170,70,70,90,50,70,70,30,50,40,50,90,140,30,70,110,90,110,170,140,30,40,70,LOW(0)
lãi suất lotte finance,Brand,Vietnam,VI,90,40,40,30,20,90,70,110,50,90,90,70,70,50,70,90,110,70,90,90,90,50,70,70,LOW(32)
lotte tài chính,Brand,Vietnam,VI,90,40,90,90,70,70,70,70,50,50,70,50,40,50,70,70,50,70,70,50,50,70,50,70,MEDIUM(44)
lotte mart app,Brand,Vietnam,VI,40,40,40,30,50,50,70,50,50,50,50,70,70,50,70,70,70,70,90,50,50,110,70,90,LOW(6)
ngan hang lotte,Brand,Vietnam,VI,90,40,90,90,90,70,40,20,50,50,140,110,90,40,40,50,50,30,30,40,30,50,50,30,MEDIUM(44)
cty tài chính lotte finance,Brand,Vietnam,VI,70,40,40,70,70,50,50,50,50,40,50,90,50,30,30,40,50,50,70,70,40,70,90,110,MEDIUM(37)
vay tín chấp lotte,Brand,Vietnam,VI,90,40,50,40,50,90,70,90,70,70,70,50,50,40,40,90,30,40,50,50,50,70,40,30,MEDIUM(63)
lotte finance cho vay,Brand,Vietnam,VI,20,10,10,10,10,20,20,50,480,260,40,30,20,20,30,50,10,10,10,30,40,50,20,20,MEDIUM(40)
vay vốn lotte,Brand,Vietnam,VI,90,40,70,70,50,70,70,50,70,70,50,70,20,40,50,50,50,30,40,40,30,50,50,40,MEDIUM(43)
lotte finance thẻ tín dụng,Brand,Vietnam,VI,30,10,20,20,40,30,40,70,50,70,70,90,40,50,50,50,30,50,70,40,50,50,70,40,LOW(21)
ngân hàng lotte credit,Brand,Vietnam,VI,20,10,10,50,170,50,40,20,10,20,170,90,30,10,30,70,50,30,20,20,50,30,10,30,MEDIUM(50)
cty lotte finance,Brand,Vietnam,VI,30,20,40,20,30,30,40,30,50,30,30,40,30,30,30,30,50,30,50,40,50,50,40,50,LOW(33)
shinhan lotte,Brand,Vietnam,VI,30,20,50,40,40,50,50,40,50,40,40,50,50,30,30,40,40,20,40,10,20,20,20,30,LOW(13)
tín dụng lotte,Brand,Vietnam,VI,50,20,40,40,40,50,30,40,30,30,40,40,30,30,30,20,30,10,30,40,20,30,20,20,MEDIUM(49)
ngân hàng lotte cho vay,Brand,Vietnam,VI,30,50,110,50,10,30,40,10,10,20,50,10,20,10,20,20,40,10,10,50,20,90,10,10,MEDIUM(60)
tài chính lotte finance,Brand,Vietnam,VI,40,10,20,20,10,50,20,20,20,30,30,20,10,30,40,50,40,40,20,20,20,50,70,50,MEDIUM(47)
lotte ngân hàng,Brand,Vietnam,VI,40,20,30,30,30,30,40,30,30,40,40,30,20,20,30,30,20,40,30,20,40,10,30,40,LOW(26)
vay tín chấp lotte finance,Brand,Vietnam,VI,50,30,90,50,30,20,20,10,10,20,40,10,10,10,10,20,30,40,30,30,10,30,40,70,HIGH(70)
lottefinance vn,Brand,Vietnam,VI,30,10,20,20,30,40,20,20,20,20,30,20,30,20,30,20,30,30,30,30,30,40,50,70,MEDIUM(40)
ngân hàng tài chính lotte,Brand,Vietnam,VI,40,20,30,50,40,10,40,40,20,30,20,30,20,10,10,20,10,20,20,20,30,20,20,10,MEDIUM(38)
vay ngân hàng lotte,Brand,Vietnam,VI,30,10,30,30,20,20,30,30,20,30,30,30,10,20,20,20,50,20,20,20,30,20,10,10,MEDIUM(38)
lotte vay tín chấp,Brand,Vietnam,VI,70,10,20,10,10,20,20,90,10,20,20,90,20,10,10,20,10,20,10,10,10,10,10,10,HIGH(74)
vay online lotte finance,Brand,Vietnam,VI,10,10,10,10,20,10,20,20,30,20,20,20,20,20,20,20,30,20,10,30,20,30,70,50,MEDIUM(64)
cho vay lotte,Brand,Vietnam,VI,30,10,20,20,20,20,30,30,20,30,30,20,10,20,20,20,30,20,30,30,20,20,10,10,MEDIUM(41)
vay tín dụng lotte,Brand,Vietnam,VI,30,20,30,30,30,30,20,20,30,20,20,20,30,20,10,10,20,20,20,20,20,10,20,20,HIGH(78)
vay vốn lotte finance,Brand,Vietnam,VI,10,10,20,30,20,10,30,30,20,30,10,20,20,20,10,30,40,20,20,20,20,40,20,20,HIGH(68)
vay tiêu dùng lotte finance,Brand,Vietnam,VI,20,10,20,20,50,20,20,10,20,20,20,20,20,10,10,10,10,10,20,30,20,20,20,30,HIGH(72)
vay tài chính lotte,Brand,Vietnam,VI,30,10,10,20,20,10,20,20,10,10,10,20,20,10,10,10,10,20,50,40,40,20,20,20,HIGH(74)
mở thẻ tín dụng lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,20,30,20,30,30,40,20,40,20,HIGH(81)
vay tien lotte,Brand,Vietnam,VI,20,10,10,10,10,30,20,30,20,20,10,20,10,20,20,10,20,30,10,10,10,20,20,10,MEDIUM(61)
lãi suất của lotte finance,Brand,Vietnam,VI,30,10,10,20,20,20,20,20,20,20,20,20,10,20,10,10,10,10,10,10,20,20,10,20,MEDIUM(40)
vay tiền bên lotte,Brand,Vietnam,VI,30,10,10,20,10,10,10,40,20,10,20,20,10,20,10,20,20,20,20,10,20,10,10,10,MEDIUM(50)
lotte công ty tài chính,Brand,Vietnam,VI,20,10,10,10,20,10,10,20,10,20,20,20,10,10,10,10,10,20,30,20,20,30,20,10,MEDIUM(38)
lotte finance com,Brand,Vietnam,VI,10,10,10,10,10,10,0,0,0,10,20,10,10,10,10,30,20,20,20,30,20,30,30,30,MEDIUM(34)
app vay tiền lotte,Brand,Vietnam,VI,10,10,10,20,10,10,20,10,10,20,10,20,10,10,10,20,30,20,10,10,10,10,20,10,HIGH(68)
vay lotte fin,Brand,Vietnam,VI,30,10,10,10,10,10,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,MEDIUM(57)
lotte finance lãi suất,Brand,Vietnam,VI,10,10,10,20,20,10,10,10,10,30,20,10,20,10,10,10,10,10,10,10,10,10,10,20,LOW(27)
vay tiền tại lotte finance,Brand,Vietnam,VI,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,20,10,20,10,10,20,10,20,10,MEDIUM(62)
