Keyword,Angle,Location,Language,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Competition,Flag Reason
lotte finance tổng đài,Brand,Vietnam,VI,170,140,170,170,170,140,140,110,70,140,110,110,50,40,50,50,50,40,40,30,50,70,90,50,LOW(3),Low Intent - Tổng đài/Hotline (khách cũ)
lotte finance lừa đảo,Product,Vietnam,VI,1300,720,1300,1300,1600,1600,1600,1900,1600,1900,1900,1900,1600,1000,1300,1900,1900,1900,1900,1900,1600,1900,1000,1900,LOW(1),Negative - Lừa đảo/Scam
lotte finance có hỗ trợ nợ xấu không,Product,Vietnam,VI,210,70,140,170,260,260,210,210,260,320,260,320,210,140,260,210,260,210,260,170,110,170,110,140,LOW(7),Negative - Nợ xấu
ngân hàng lotte finance lừa đảo,Product,Vietnam,VI,50,30,40,70,70,90,90,110,90,110,70,110,50,50,70,70,70,70,90,70,70,110,140,170,LOW(0),Negative - Lừa đảo/Scam
công ty tài chính lotte lừa đảo,Product,Vietnam,VI,50,30,50,20,50,10,10,10,10,10,10,20,10,10,10,10,20,20,20,20,10,10,10,10,LOW(0),Negative - Lừa đảo/Scam
thanh toán khoản vay lotte,Product,Vietnam,VI,20,10,10,10,10,10,20,10,10,20,20,20,10,10,10,20,10,10,10,10,10,10,10,10,LOW(0),Low Intent - Thanh toán/Tất toán (khách cũ)
ngân hàng lotte credit lừa đảo,Product,Vietnam,VI,10,10,10,10,10,10,10,20,20,30,30,10,10,0,10,10,10,10,0,10,10,10,0,10,UNSPECIFIED,Negative - Lừa đảo/Scam
tổng đài lotte credit,Product,Vietnam,VI,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,UNSPECIFIED,Low Intent - Tổng đài/Hotline (khách cũ)
nợ xấu lotte,Product,Vietnam,VI,0,0,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,LOW(0),Negative - Nợ xấu
vay lotte finance lừa đảo,Product,Vietnam,VI,20,10,0,0,10,10,10,0,0,0,10,10,0,10,10,10,10,10,10,10,10,10,0,0,UNSPECIFIED,Negative - Lừa đảo/Scam
lotte credit lừa đảo,Product,Vietnam,VI,10,10,10,10,10,0,10,10,10,0,0,0,10,0,10,10,0,0,0,0,0,0,0,10,UNSPECIFIED,Negative - Lừa đảo/Scam
công ty tài chính lotte credit lừa đảo,Product,Vietnam,VI,10,0,0,0,0,0,10,10,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,UNSPECIFIED,Negative - Lừa đảo/Scam
